image,scratch_ratio,severity
0118_JPEG.rf.0a81b21c08bd93a108a741121f6a4672.jpg,0.162197265625,2
0118_JPEG.rf.29e679636575003fa9eb7a39b4040d8e.jpg,0.15904296875,1
0118_JPEG.rf.f32efbf1129e509c59316fdd8ff6b37e.jpg,0.1576318359375,1
0159_JPEG.rf.2348a4d77b70d35db66873561f9bbba8.jpg,0.07698486328125,0
0159_JPEG.rf.4f747545ec5bf43f78dbe1fe92b99ee1.jpg,0.08119384765625,0
0159_JPEG.rf.9e286acad830284fe7b8534c7c1390e9.jpg,0.081298828125,0
1--1-_jpeg.rf.2964952f72ce2146a6c7013155531ada.jpg,0.1122705078125,1
1--1-_jpeg.rf.4e797e339487b67b9581f01fb5482963.jpg,0.1103759765625,1
1--1-_jpeg.rf.62f331d25cc13d269afeda0e08f51ad5.jpg,0.102880859375,0
11--1-_jpeg.rf.3bcdf6d235d91b5a8f9e486c66da303b.jpg,0.12856689453125,1
11--1-_jpeg.rf.626b9ad2a3b8dc49c37d069668ce547e.jpg,0.13753662109375,1
11--1-_jpeg.rf.874e87fc988c913424a1aec629f3afe7.jpg,0.13622802734375,1
12_jpeg.rf.5d7d3768b14085b7f969db8b6dd89786.jpg,0.0405615234375,0
12_jpeg.rf.889c548ae4ac286e7bec91833727744e.jpg,0.04093017578125,0
12_jpeg.rf.dd87d85281b0ac487c5e7c406420c311.jpg,0.0402978515625,0
13_jpeg.rf.8c0f32a5791c39cb0559bb50fd7e4044.jpg,0.087421875,0
13_jpeg.rf.e278ad0c8bda63c8afb9e030b10240e1.jpg,0.08736328125,0
13_jpeg.rf.f17cbaefa0b97cb411e440e37a72bcf7.jpg,0.08793701171875,0
14_jpeg.rf.55312ba27aef6e0a1ae48dd4c9da6a7c.jpg,0.1077783203125,0
14_jpeg.rf.ae58c6a70d3cda08e6620c126b10483e.jpg,0.10987548828125,1
14_jpeg.rf.dbc3067a8d6fe9766f2496edc23dbf58.jpg,0.10618408203125,0
15_jpeg.rf.69459038dc50ec7c9c3a4dc2e977fdb1.jpg,0.1063525390625,0
15_jpeg.rf.d752a2313745d597478385f8c7f549e2.jpg,0.11198974609375,1
15_jpeg.rf.dc3bd9c3d1ab2572fd8c8d44fc3e3a6b.jpg,0.11355712890625,1
16_jpeg.rf.1b3c4717c8926069fdafa35d5cbfbac9.jpg,0.07510986328125,0
16_jpeg.rf.1c9ecf6cb28ddbb1a294f6ce301c78ee.jpg,0.07519287109375,0
16_jpeg.rf.4690f3c95cdce16aba46f08a19fbe7c6.jpg,0.07512451171875,0
21_jpeg.rf.04ec46a1c094356e34efbfeb5343085b.jpg,0.12917236328125,1
21_jpeg.rf.adb2fc709dcc8823adaef3abf81c123d.jpg,0.13234375,1
21_jpeg.rf.ddb0e4682b7a06bca1f0fb9f91d2f679.jpg,0.13654541015625,1
23_jpeg.rf.8cc61cf145cac0d40201e1335080f528.jpg,0.06537353515625,0
